PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE
PORT OF SUSAKI,JPN,133.288457,33.39083333
NIIHAMA,JPN,133.274063,33.979822
MATSUNAGA,JPN,133.2579,34.439734
SAKAI KO,JPN,133.25,35.55
SAKAIMINATO,JPN,133.2477,35.531634
ONOMICHI,JPN,133.2001,34.403334
INNOSHIMA,JPN,133.185556,34.278799
HABU KO,JPN,133.1833333,34.28333333
ONOMICHI-ITOZAKI,JPN,133.133333,34.383333
ITOZAKI,JPN,133.087181,34.389971
VOSTOCHNIY,RUS,133.0836792,42.74530029
VOSTOCHNYY,RUS,133.083333,42.75
MATSUE,JPN,133.0559,35.463534
IMABARI KO,JPN,133.0166667,34.06666667
IMABARI,JPN,133.0117,34.069734
MIYAURA,JPN,132.994845,34.248824
TOSASHIMIZU HARBOR,JPN,132.9426973,32.78111111
TAKEHARA,JPN,132.9217,34.329334
TAKEHARA HARBOR,JPN,132.9100707,34.33138889
MATEGATA,JPN,132.908787,34.11782
PORT LIVADIA,RUS,132.9075972,42.80472222
NAMIKATA,JPN,132.9,34.116667
NAKHODKA,RUS,132.8856812,42.79107666
KIKUMA,JPN,132.8519,34.041734
KIKUMA KO,JPN,132.8333333,34.03333333
SUKUMO,JPN,132.7249,32.920434
MATSUYAMA,JPN,132.7141,33.860934
IYO HARBOR,JPN,132.6896938,33.76555556
BUKHTA GAYDAMAK,RUS,132.683333,42.866667
